distance_kms,trip_time_minutes,total_time_minutes,speed_kmh,trip_type_uberblack,trip_type_uberx,surge_multiplier,trip_type_uberelka,trip_start_time_year,weather_partly_cloudy_night,trip_start_time_hour,temperature_time_hour,feels_like,cloudness,temp_hour_interaction,temperature_value,rub_usd_exchange_rate,temperature_time_month,trip_start_time_month,dropoff_long,pickup_long,vehicle_make,vehicle_model,weather_desc,ride_hailing_app_Uber,trip_type_Comfort,trip_type_EconomyFix,trip_type_uberBEAUTY,trip_type_uberBLACK,trip_type_uberELKA,trip_type_uberSELECT,trip_type_uberX,city_Moscow,city_Saint Petersburg,weather_main_clear-night,weather_main_cloudy,weather_main_fog,weather_main_partly-cloudy-day,weather_main_partly-cloudy-night,weather_main_rain,weather_main_snow,weather_main_wind,precipitation_rain,precipitation_snow,trip_start_time_timeofday_evening,trip_start_time_timeofday_morning,trip_start_time_timeofday_night,temperature_time_timeofday_evening,temperature_time_timeofday_morning,temperature_time_timeofday_night
19.1,25.3,30.0,38.2,0,1,1.0,0,2015,0,19,19,16.0,0.75,304.0,16.0,55.17,6,6,30.274495,30.3379833,0.07227138643067847,0.048672566371681415,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
21.18,30.3,37.0,34.34594594594594,0,1,1.0,0,2015,0,21,21,16.0,0.94,336.0,16.0,55.17,6,6,30.3392897,30.3380717,0.19616519174041297,0.4616519174041298,0.25073746312684364,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2.27,9.55,19.0,7.1684210526315795,0,0,1.0,0,2015,0,21,21,16.0,0.75,342.0,16.0,55.17,6,6,30.3456956,30.3382977,0.02654867256637168,0.4616519174041298,0.38200589970501475,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
8.85,22.516666666666666,29.0,18.310344827586206,0,0,1.0,0,2015,1,21,21,15.0,0.78,342.0,15.0,55.17,6,6,30.3379478,30.3458923,0.19616519174041297,0.4616519174041298,0.38200589970501475,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
17.79,45.0,57.0,18.726315789473684,0,1,1.0,0,2015,0,9,9,15.0,0.75,135.0,15.0,55.17,6,6,30.3358845,30.4078023,0.028023598820058997,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
21.22,46.43333333333333,57.0,14.468181818181819,0,1,1.0,0,2015,0,8,8,16.0,0.62,128.0,16.0,55.17,6,6,30.33797633,30.2808294,0.10766961651917405,0.06342182890855458,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
4.35,12.466666666666667,27.0,9.666666666666666,0,0,1.0,0,2015,0,11,11,18.0,0.76,198.0,18.0,55.17,6,6,30.28558798,30.33806238,0.19616519174041297,0.4616519174041298,0.38200589970501475,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
3.25,10.583333333333334,20.0,9.75,0,0,1.0,0,2015,0,12,12,16.0,0.76,192.0,16.0,55.17,6,6,30.33025685,30.28569069,0.02654867256637168,0.4616519174041298,0.38200589970501475,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.79,5.766666666666667,14.0,6.852631578947369,0,1,1.0,0,2015,0,13,13,15.0,0.75,195.0,15.0,55.17,6,6,30.3245608,30.3300238,0.07227138643067847,0.048672566371681415,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.61,16.516666666666666,27.0,6.852631578947369,0,0,1.0,0,2015,0,14,14,15.0,0.75,210.0,15.0,55.17,6,6,30.3381516,30.3569533,0.19616519174041297,0.4616519174041298,0.38200589970501475,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.79,8.85,22.0,6.852631578947369,0,1,1.0,0,2015,0,18,18,13.0,0.62,234.0,13.0,55.17,6,6,30.3373816,30.3415916,0.17404129793510326,0.15339233038348082,0.014749262536873156,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
5.02,12.1,20.0,15.059999999999999,0,0,1.0,0,2015,0,21,21,10.0,0.0,220.0,10.0,55.17,6,6,30.2846216,30.337745,0.02654867256637168,0.4616519174041298,0.10176991150442478,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3.35,17.516666666666666,33.0,6.852631578947369,0,1,1.0,0,2015,0,10,10,15.0,0.75,150.0,15.0,55.17,6,6,30.3234206,30.2862526,0.07227138643067847,0.4616519174041298,0.014749262536873156,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3.07,9.716666666666667,12.0,16.745454545454546,0,1,1.0,0,2015,0,11,11,14.0,0.75,154.0,14.0,55.17,6,6,30.2862445,30.3228185,0.19616519174041297,0.4616519174041298,0.014749262536873156,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
5.46,18.4,33.0,9.927272727272726,0,0,1.0,0,2015,0,11,11,14.0,0.75,154.0,14.0,55.17,6,6,30.28419938,30.3556106,0.02654867256637168,0.4616519174041298,0.38200589970501475,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2.72,7.5,21.0,7.771428571428572,0,0,1.0,0,2015,0,20,20,11.0,0.58,220.0,11.0,55.17,6,6,30.3379599,30.32664014,0.19616519174041297,0.4616519174041298,0.1902654867256637,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
3.6,10.333333333333334,22.0,9.818181818181818,0,1,1.0,0,2015,0,7,7,6.0,0.61,40.0,8.0,55.17,6,6,30.33816057,30.28549404,0.19616519174041297,0.4616519174041298,0.38200589970501475,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
19.07,31.15,38.0,30.110526315789475,0,1,1.0,0,2015,0,7,7,11.0,0.0,77.0,11.0,55.17,6,6,30.2743139,30.3380893,0.06932153392330384,0.051622418879056046,0.10176991150442478,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3.78,28.283333333333335,30.0,7.56,0,1,1.0,0,2015,0,11,11,15.0,0.47,165.0,15.0,55.17,6,6,30.34182538,30.33549931,0.10766961651917405,0.4616519174041298,0.1902654867256637,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
4.78,29.833333333333332,45.0,6.852631578947369,0,1,1.0,0,2015,0,12,12,15.0,0.47,180.0,15.0,55.17,6,6,30.337645,30.3418583,0.19616519174041297,0.4616519174041298,0.1902654867256637,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.78,11.65,27.0,6.852631578947369,0,1,1.0,0,2015,0,13,13,15.0,0.31,195.0,15.0,55.17,6,6,30.33699051,30.35667753,0.19616519174041297,0.4616519174041298,0.0029498525073746312,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19.14,46.43333333333333,57.0,20.147368421052633,0,0,1.0,0,2015,0,15,15,15.0,0.46,225.0,15.0,55.17,6,6,30.2742717,30.33790811,0.02654867256637168,0.4616519174041298,0.1902654867256637,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
